id,type,workerid,hitid,assignmentid,exit,bonus
EnQzccXj,player,NA,NA,NA,85kYe0,0.14
867396374867523,bot,NA,NA,NA,NA,0.9
973439750859794,bot,NA,NA,NA,NA,1.06
177867448220919,bot,NA,NA,NA,NA,0.98
597735787596429,bot,NA,NA,NA,NA,0.7
224409116993138,bot,NA,NA,NA,NA,1.12
